filename,page,chunk_number,text,summary
Loan amortisation schedule1.xlsx,,3,"00:00:00        4490.917146          425.749521            100                   525.749521  510.779797      14.969724     3980.137349             31.63639
        NaN                           3        2025-06-07 00:00:00        3980.137349          425.749521            100                   525.749521  512.482396      13.267124     3467.654952            44.903515
        NaN                           4        2025-07-07 00:00:00        3467.654952          425.749521            100                   525.749521  514.190671       11.55885     2953.464281            56.462365
        NaN                           5        2025-08-07 00:00:00        2953.464281          425.749521            100                   525.749521   515.90464       9.844881     2437.559641            66.307246
        NaN                           6        2025-09-07 00:00:00        2437.559641          425.749521            100                   525.749521  517.624",00:00:00 4490.917146 425.749521 100 525.759521 510.779797 14.969724 3980.137349 31.63639 NaN 3 2025-06-07 00.00:00 3980 - 137349 425 - 512.482396 13.267124 3467.654952 44.903515 NaN 4 2025-07-07 00 - 10:000:00 2437.559641 425
Loan amortisation schedule1.xlsx,,4,".307246
        NaN                           6        2025-09-07 00:00:00        2437.559641          425.749521            100                   525.749521  517.624322       8.125199     1919.935319            74.432445
        NaN                           7        2025-10-07 00:00:00        1919.935319          425.749521            100                   525.749521  519.349737       6.399784     1400.585582            80.832229
        NaN                           8        2025-11-07 00:00:00        1400.585582          425.749521            100                   525.749521  521.080902       4.668619       879.50468            85.500848
        NaN                           9        2025-12-07 00:00:00          879.50468          425.749521            100                   525.749521  522.817839       2.931682      356.686841             88.43253
        NaN                          10        2026-01-07 00:00:00         356.686841          425.749521","74.432445 NaN 7 2025-10-07 00:00:00 2437.559641 425.749521 100 525.759521 517.624322 8.125199 1919.935319 73.43243 . NaN 8 2025-11-07:00:000:00 879.50468 425 - 78.43253 NaN 10 2026-01-07,00:010:00 356.686841 425,749522 ."
Loan amortisation schedule1.xlsx,,5,"2.931682      356.686841             88.43253
        NaN                          10        2026-01-07 00:00:00         356.686841          425.749521              0                   356.686841  355.497885       1.188956               0            89.621486",2.931682 356.686841 88.43253 NaN 10 2026-01-07 00:00:00 325.749521 0 345.841 355.497885 1.188956 0 89.621486 .
Loan analysis.xlsx,,1,"--- Sheet: LOAN ANALYSIS ---

 Unnamed: 0 LOAN ANALYSIS WORKSHEET  Unnamed: 2    Unnamed: 3  Unnamed: 4      Unnamed: 5  Unnamed: 6  Unnamed: 7   Unnamed: 8  Unnamed: 9  Unnamed: 10                                                      Unnamed: 11
        NaN           LOAN ANALYSIS         NaN           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN Rate slicer to filter table data based on Rates is in this cell.
        NaN           INTEREST RATE         NaN          0.05         NaN MONTHLY PAYMENT         NaN         NaN   106.065515         NaN          NaN                                                              NaN
        NaN           YEARS OF LOAN         NaN            10         NaN   TOTAL PAYMENT         NaN         NaN 12727.861829         NaN          NaN                                                              NaN
        NaN             LOAN AMOUNT         NaN         10000         NaN  TOTAL INTEREST         NaN         NaN  2727.861829         NaN          NaN                                                              NaN
        NaN            PAYMENTS DUE         NaN End of Period         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                     NaN       YEARS           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                    RATE           3             5   10.000000",0 LOAN ANALYSIS WORKSHEET Unnamed: 2 Unname: 3 Unnamede: 4 unnamed . 6 unname: 7 unnameded: 8 unnamedé: 9 Unnamedéclared: 11 NaN INTEREST RATE NaN 0.05 MONTHLY PAYMENT NaN NaN N 106.065515 Nan NaN NAN N NaN YEARS OF LOan NaN 10000 NaN TOTAL PAYEMENT NaN
Loan analysis.xlsx,,2,"NaN         NaN          NaN                                                              NaN
        NaN                     NaN       YEARS           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                    RATE           3             5   10.000000              12   15.000000   20.000000    25.000000   30.000000          NaN                                                              NaN
        NaN                    0.02  286.425787    175.277601   92.013454       78.168369   64.350870   50.588334    42.385434   36.961947          NaN                                                              NaN
        NaN                  0.0225  287.518475    176.373448   93.137372       79.305498   65.508477   51.780829    43.613070   38.224610          NaN                                                              NaN
        NaN                   0.025  288.613757    177.473616   94.269902       80.452938   66.678921   52.990289    44.861673   39.512090          NaN                                                              NaN
        NaN                  0.0275  289.711631    178.578103   95.411031        81.61067   67.862",NaN NaN N NaN naN Nan NaN NON N N N Na N Nan N N n nn Na N NE N ANNEXE N NN Na N Nn Na NaN RATE 3 5 10.000000 12 15.000000 20.000000 25.000000 30.000000 NaN NeN .02 286.425787 175.277601 92.013454 78.168369 64.350870 50.588334 42.385434
Loan analysis.xlsx,,3,"861673   39.512090          NaN                                                              NaN
        NaN                  0.0275  289.711631    178.578103   95.411031        81.61067   67.862164   54.216631    46.131086   40.824118          NaN                                                              NaN
        NaN                    0.03  290.812096    179.686907   96.560745       82.778669   69.058164   55.459760    47.421131   42.160403          NaN                                                              NaN
        NaN                  0.0325  291.915152    180.800023   97.719029       83.956912   70.266877   56.719576    48.731623   43.520632          NaN                                                              NaN
        NaN                   0.035  293.020797     181.91745   98.885867       85.145374   71.488254   57.995972    50.062357   44.904469          NaN                                                              NaN
        NaN                  0.0375   294.12903    183.039183  100.061243       86.344025   72.722244   59.288831",861673 39.512090 NaN NaN 0.0275 289.711631 178.578103 95.411031 81.61067 67.862164 54.216631 46.131086 40.824118 NaN N NaN 0.03 290.812096 179.686907 96.560745 82.778669 69.058164 55.459760 47.421131 42.160403 NaN
Loan analysis.xlsx,,4,"NaN                                                              NaN
        NaN                  0.0375   294.12903    183.039183  100.061243       86.344025   72.722244   59.288831    51.413120   46.311559          NaN                                                              NaN
        NaN                    0.04   295.23985    184.165221  101.245138       87.552837   73.968793   60.598033    52.783684   47.741530          NaN                                                              NaN
        NaN                  0.0425  296.353255    185.295558  102.437533       88.771778   75.227841   61.923447    54.173810   49.193989          NaN                                                              NaN
        NaN                   0.045  297.469245    186.430192  103.638409       90.000816   76.499329   63.264938    55.583248   50.668531          NaN                                                              NaN
        NaN                  0.0475  298.587817     187.56912  104.847743       91.239916   77.783192   64.622363    57.011736   52",NaN NaN 0.04 295.23985 184.165221 101.245138 87.552837 73.968793 60.598033 52.783684 47.741530 . 88.771778 75.227841 61.923447 54.173810 49.193989 .
Loan analysis.xlsx,,5,"0.0475  298.587817     187.56912  104.847743       91.239916   77.783192   64.622363    57.011736   52.164734          NaN                                                              NaN
        NaN                    0.05  299.708971    188.712336  106.065515       92.489041   79.079363   65.995574    58.459004   53.682162          NaN                                                              NaN
        NaN                  0.0525  300.832705    189.859838  107.291701       93.748155   80.387772   67.384417    59.924772   55.220370          NaN                                                              NaN
        NaN                   0.055  301.959018    191.011622  108.526278       95.017217   81.708345   68.788731    61.408749   56.778900          NaN                                                              NaN
        NaN                  0.0575  303.087908    192.167682  109.769220       96.296187   83.041009   70.208351    62.910640   58.357286          NaN                                                              NaN",0.0475 298.587817 187.56912 104.847743 91.239916 77.783192 64.622363 57.011736 52.164734 NaN NaN 0.05 299.708971 188.712336 106.065515 92.489041 79.079363 65.995574 58.459004 53.682162 NaN
Loan analysis.xlsx,,6,".087908    192.167682  109.769220       96.296187   83.041009   70.208351    62.910640   58.357286          NaN                                                              NaN
        NaN                    0.06  304.219375    193.328015  111.020502       97.585021   84.385683   71.643106    64.430140   59.955053          NaN                                                              NaN
        NaN                  0.0625  305.353415    194.492617  112.280097       98.883677   85.742287   73.092820    65.966938   61.571720          NaN                                                              NaN
        NaN                   0.065  306.490029    195.661482  113.547977      100.192109   87.110737   74.557314    67.520716   63.206802          NaN                                                              NaN
        NaN                  0.0675  307.629214    196.834607  114.824114      101.510269   88.490946   76.036401    69.091153   64.859810          NaN                                                              NaN
        NaN                    0.07",.087908 192.167682 109.769220 96.296187 83.041009 70.208351 62.910640 58.357286 NaN NaN 0.06 304.219375 193.328015 111.020502 97.585021 84.385683 71.643106 64.430140 59.955053 NaN N NaN .0625 305.353415 194.492617 112.280097 98.883677 85
Loan analysis.xlsx,,7,"607  114.824114      101.510269   88.490946   76.036401    69.091153   64.859810          NaN                                                              NaN
        NaN                    0.07  308.770969    198.011985  116.108479       102.83811   89.882827   77.529894    70.677920   66.530250          NaN                                                              NaN
        NaN                  0.0725  309.915292    199.193614  117.401041      104.175581   91.286288   79.037598    72.280686   68.217628          NaN                                                              NaN
        NaN                   0.075  311.062182    200.379486  118.701769      105.522631   92.701236   80.559319    73.899118   69.921451          NaN                                                              NaN
        NaN                  0.0775  312.211636    201.569598  120.010631      106.879208   94.127575   82.094856    75.532876   71.641225          NaN                                                              NaN
        NaN                    0.08  313.363655    202",89.882827 77.529894 70.677920 66.530250 NaN NaN 0.0725 309.915292 199.193614 117.401041 104.175581 91.286288 79.037598 72.280686 68.217628 NaN 0.075 311.062182 200.379486 118.701769 105.522631 92.701236 80.559319 7
Loan analysis.xlsx,,8,"106.879208   94.127575   82.094856    75.532876   71.641225          NaN                                                              NaN
        NaN                    0.08  313.363655    202.763943  121.327594      108.245258   95.565208   83.644007    77.181622   73.376457          NaN                                                              NaN
        NaN                  0.0825  314.518234    203.962517  122.652625      109.620727   97.014036   85.206565    78.845013   75.126660          NaN                                                              NaN
        NaN                   0.085  315.675374    205.165313  123.985689      111.005556   98.473956   86.782323    80.522708   76.891348          NaN                                                              NaN
        NaN                  0.0875  316.835072    206.372327  125.326750       112.39969   99.944865   88.371071    82.214364   78.670041          NaN                                                              NaN
        NaN                    0.09  317.997327    207.583552  126.675",106.879208 94.127575 82.094856 75.532876 71.641225 NaN NaN 0.08 313.363655 202.763943 121.327594 108.245258 95.565208 83.644007 77.181622 73.376457 NaN N NaN 0.085 314.518234 203.962517 122.652625 109.620727 97.014036 85.206565 78
Loan analysis.xlsx,,9,".944865   88.371071    82.214364   78.670041          NaN                                                              NaN
        NaN                    0.09  317.997327    207.583552  126.675774       113.80307  101.426658   89.972596    83.919636   80.462262          NaN                                                              NaN
        NaN                  0.0925  319.162136    208.798983  128.032722      115.215634  102.919229   91.586683    85.638184   82.267543          NaN                                                              NaN
        NaN                   0.095  320.329497    210.018613  129.397558      116.637324  104.422468   93.213119    87.369666   84.085421          NaN                                                              NaN
        NaN                  0.0975   321.49941    211.242437  130.770242      118.068075  105.936266   94.851685    89.113742   85.915441          NaN                                                              NaN
        NaN                     0.1  322.671872    212.470447  132.150737      119.507826",208.798983 128.032722 115.215634 102.919229 91.586683 85.638184 82.267543 NaN NaN 0.095 320.329497 210.018613 129.397558 116.637324 104.422468 93.213119 87.369666 84.085421 NaN N NaN 0.0975 321.49941 211.242437 130.770242 118.068075 105
Loan analysis.xlsx,,10,"685    89.113742   85.915441          NaN                                                              NaN
        NaN                     0.1  322.671872    212.470447  132.150737      119.507826  107.460512   96.502165    90.870075   87.757157          NaN                                                              NaN
        NaN                  0.1025  323.846881    213.702638  133.539002      120.956512  108.995092   98.164339    92.638328   89.610130          NaN                                                              NaN
        NaN                   0.105  325.024435    214.939004  134.934997      122.414068  110.539892   99.837989    94.418171   91.473929          NaN                                                              NaN
        NaN                  0.1075  326.204532    216.179537  136.338680      123.880428  112.094798  101.522895    96.209272   93.348136          NaN                                                              NaN
        NaN                    0.11  327.387171    217.424231  137.750011      125.355526  113.659693  103",685 89.113742 85.915441 NaN NaN 0.1 322.671872 212.470447 132.150737 119.507826 107.460512 96.502165 90.870075 87.757157 NaN N NaN 0.1025 323.846881 213.702638 133.539002 120.956512 108.995092 98.164339 92.63832889.610130 NaN
Loan analysis.xlsx,,11,"93.348136          NaN                                                              NaN
        NaN                    0.11  327.387171    217.424231  137.750011      125.355526  113.659693  103.218839    98.011308   95.232340          NaN                                                              NaN
        NaN                  0.1125  328.572349    218.673079  139.168947      126.839292  115.234460  104.925601    99.823955   97.126139          NaN                                                              NaN
        NaN                   0.115  329.760064    219.926074  140.595444      128.331658  116.818981  106.642963   101.646896   99.029143          NaN                                                              NaN
        NaN                  0.1175  330.950315    221.183209  142.029459      129.832556  118.413136  108.370706   103.479819  100.940973          NaN                                                              NaN
        NaN                    0.12  332.143098    222.444477  143.470948      131.341914  120.016806  110.108613   105.322",126.839292 115.234460 104.925601 99.823955 99.126139 NaN NaN 0.115 329.760064 219.926074 140.595444 128.331658 140.818981 101.646896 99.029143 NaN .1175 330.950315 221.183209 142.029459 129.832556 118.413136 108.370706 103.479819
Loan analysis.xlsx,,12,"NaN
        NaN                    0.12  332.143098    222.444477  143.470948      131.341914  120.016806  110.108613   105.322414  102.861260          NaN                                                              NaN
        NaN                  0.1225  333.338413     223.70987  144.919867      132.859662  121.629871  111.856468   107.174379  104.789643          NaN                                                              NaN
        NaN                   0.125  334.536256    224.979382  146.376169      134.385728  123.252208  113.614055   109.035414  106.725776          NaN                                                              NaN
        NaN                  0.1275  335.736626    226.253005  147.839809       135.92004  124.883698  115.381160   110.905227  108.669321          NaN                                                              NaN
        NaN                    0.13   336.93952     227.53073  149.310740      137.462524  126.524217  117.157571   112.783530  110.619952",the NaN NaN 0.12 332.143098 222.444477 143.470948 131.341914 120.016806 110.108613 105.322414 102.861260 . 333.338413 223.70987 144.919867 132.859662 121.629871 111.856468 107.174379 104.789643
Loan analysis.xlsx,,13,"13   336.93952     227.53073  149.310740      137.462524  126.524217  117.157571   112.783530  110.619952          NaN                                                              NaN
        NaN                  0.1325  338.144937    228.812552  150.788916      139.013108  128.173643  118.943077   114.670043  112.577352          NaN                                                              NaN
        NaN                   0.135  339.352873     230.09846  152.274289      140.571716  129.831854  120.737468   116.564488  114.541218          NaN                                                              NaN
        NaN                  0.1375  340.563328    231.388449  153.766812      142.138275  131.498727  122.540538   118.466597  116.511253          NaN                                                              NaN
        NaN                    0.14  341.776298    232.682508  155.266435      143.712708  133.174139  124.352081   120.376104  118.487175          NaN                                                              NaN
        NaN",13 336.93952 227.53073 149.310740 137.462524 126.524217 117.157571 112.783530 110.619952 NaN NaN N NaN 0.1325 338.144937 228.812552 150.788916 139.013108 128.173643 118.943077 114.670043 112.577352 NaN 0.135 339.352873 230.09846 152.
Loan analysis.xlsx,,14,"232.682508  155.266435      143.712708  133.174139  124.352081   120.376104  118.487175          NaN                                                              NaN
        NaN                  0.1425  342.991781    233.980632  156.773111      145.294942  134.857966  126.171894   122.292753  120.468709          NaN                                                              NaN
        NaN                   0.145  344.209774    235.282811  158.286789      146.884899  136.550086  127.999777   124.216292  122.455593          NaN                                                              NaN
        NaN                  0.1475  345.430277    236.589037  159.807422      148.482502  138.250376  129.835530   126.146474  124.447572          NaN                                                              NaN
        NaN                    0.15  346.653285    237.899301  161.334957      150.087677  139.958712  131.678958   128.083061  126.444402          NaN                                                              NaN
        NaN                  0.1525  347.",232.682508 155.266435 143.712708 133.174139 124.352081 120.376104 118.487175 NaN NaN N NaN 0.1425 342.991781 233.980632 156.773111 145.294942 134.857966 126.171894 122.292753 120.468709 NaN .
Loan analysis.xlsx,,15,".334957      150.087677  139.958712  131.678958   128.083061  126.444402          NaN                                                              NaN
        NaN                  0.1525  347.878797    239.213595  162.869346      151.700344  141.674972  133.529868   130.025820  128.445850          NaN                                                              NaN
        NaN                   0.155   349.10681    240.531911  164.410537      153.320427  143.399034  135.388069   131.974524  130.451692          NaN                                                              NaN
        NaN                  0.1575  350.337322    241.854239  165.958479      154.947848  145.130775  137.253373   133.928951  132.461710          NaN                                                              NaN
        NaN                    0.16   351.57033    243.180571  167.513121       156.58253  146.870074  139.125594   135.888889  134.475700          NaN                                                              NaN",NaN NaN 0.1525 347.878797 239.213595 162.869346 151.700344 141.674972 133.529868 130.025820 128.445850 .
Loan analysis.xlsx,,16,53  146.870074  139.125594   135.888889  134.475700          NaN                                                              NaN,53 146.870074 139.125594 135.888889 134.475700 NaN NaN . NaN
M.Sc. Applied Psychology.docx,,1,"Template for P.G., Programmes 


Choice Based Credit System (CBCS), Learning Outcomes Based Curriculum Framework (LOCF) Guideline Based Credits and Hours Distribution System
for all Post – Graduate Courses including Lab Hours

First Year – Semester – I 
Semester-II
Second Year – Semester – III
Semester-IV

Total 91 Credits for PG Courses 















SEMESTER  I (CORE)
Course Name: THEORIES OF PERSONALITY
Course Code:
Year and Semester:      rdyr ,th Semester
Credits : 5

OBJECTIVES: 
Major objectives of this course are:
To make the student understand about personality and its determinants
To know the fundamentals of personality theory and its emergence to gain insight about human behavior.
To understand the significance of each school of thought in psychology
To compare and contrast the conceptual framework of various theories of personality
To know the recent trends in personality theories how its applied in the field of psychology

LEARNING OUTCOMES: -
On successful completion the students will be able to :
CO1(K2): Understand the determinants of psychology and how it emerged as significant concept of psychology
CO2(K2): Classify and compare various personality theories’ basic principles and approaches in understanding human nature.
CO3(K4): Explain a critical understanding of personality through various Western approaches including type and trait, psychoanalytic, socio-cognitive, and humanistic and contemporary theories.
CO4(K5): Apply different personality","CO2(K2): Classify and compare personality theories’ basic principles and approaches in understanding human nature . CO3(K4): Explain a critical understanding of personality through various Western approaches including type and trait, psychoanalytic, socio-cognitive, and humanistic and contemporary theories ."
